Account Name,Var 1,Var 2,Var 3,Var N,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
647,APAC,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496674,496674,496674,496674,496674,496674,496674
151.0,APAC,Travel,SMB,,,,,,,,,,,,,726125,726125,726125,726125,726125,726125,726125,726125,726125,726125,726125,726125,580900,580900,580900,580900,580900,580900,580900,580900,580900,580900,580900,580900,871350,871350,871350,871350,871350,871350
532.0,APAC,Financial Services,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70370,70370,70370,70370,70370,70370,70370,70370,70370,70370,70370,70370,0
520.0,APAC,Travel,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910404,910404,910404,910404,910404,910404,910404,910404,910404,910404,910404,910404,1820808
684.0,North America,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180493,180493,180493,180493
327.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,166055,166055,166055,166055,166055,166055,166055,166055,166055,166055,166055,166055,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75,207568.75
206.0,North America,Healthcare,Enterprise,,,,,,,,,,,,,,,,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429,417429
723.0,APAC,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924531,924531,924531
193.0,APAC,Healthcare,SMB,,,,,,,,,,,,,,,,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480,133480
247.0,APAC,Travel,Middle Market,,,,,,,,,,,,,,,,,670157,670157,670157,670157,670157,670157,670157,670157,670157,670157,670157,670157,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,804188.4,884607.24,884607.24
435.0,EMEA,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,625465,625465,625465,625465,625465,625465,625465,625465,625465,625465,625465,625465,1250930,1250930,1250930,1250930,1250930
787.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45575
689.0,North America,Healthcare,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200599,200599,200599,200599
212.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051,420051
261.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,,,706279,706279,706279,706279,706279,706279,706279,706279,706279,706279,706279,706279,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,847534.8,0,0
158.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,835033,835033,835033,835033,835033,835033,835033,835033,835033,835033,835033,835033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322.0,EMEA,Travel,SMB,,,,,,,,,,,,,,,,,,,,938268,938268,938268,938268,938268,938268,938268,938268,938268,938268,938268,938268,1172835,1172835,1172835,1172835,1172835,1172835,1172835,1172835,1172835,1172835,1172835
194.0,APAC,Travel,SMB,,,,,,,,,,,,,,,,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742,331742
358.0,EMEA,Healthcare,Middle Market,,,,,,,,,,,,,,,,,,,,,568408,568408,568408,568408,568408,568408,568408,568408,568408,568408,568408,568408,0,0,0,0,0,0,0,0,0,0
677.0,North America,Healthcare,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860347,860347,860347,860347,860347
591.0,APAC,Healthcare,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336323,336323,336323,336323,336323,336323,336323,336323,336323
34.0,APAC,Healthcare,Enterprise,,,,,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309.0,APAC,Financial Services,Middle Market,,,,,,,,,,,,,,,,,,,,953568,953568,953568,953568,953568,953568,953568,953568,953568,953568,953568,953568,1191960,1191960,1191960,1191960,1191960,1191960,1191960,1191960,1191960,1191960,1191960
643.0,North America,Financial Services,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305148,305148,305148,305148,305148,305148,305148
388.0,North America,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,619792,619792,619792,619792,619792,619792,619792,619792,619792,619792,619792,619792,805729.6,805729.6,805729.6,805729.6,805729.6,805729.6,805729.6,805729.6,805729.6,805729.6
31.0,APAC,Travel,Enterprise,,,,,328031,328031,328031,328031,328031,328031,328031,328031,328031,328031,328031,328031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411.0,North America,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316,410316
19.0,EMEA,Healthcare,Enterprise,,,517219,517219,517219,517219,517219,517219,517219,517219,517219,517219,517219,517219,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657,1551657
50.0,APAC,Financial Services,Enterprise,,,,,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,60799,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,66878.9,73566.79,73566.79
169.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,369016,369016,369016,369016,369016,369016,369016,369016,369016,369016,369016,369016,276762,276762,276762,276762,276762,276762,276762,276762,276762,276762,276762,276762,304438.2,304438.2,304438.2,304438.2
710.0,North America,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924649,924649,924649
639.0,APAC,Healthcare,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837250,837250,837250,837250,837250,837250,837250
34.0,APAC,Healthcare,Enterprise,,,,,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,722585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335.0,APAC,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,752504,752504,752504,752504,752504,752504,752504,752504,752504,752504,752504,752504,940630,940630,940630,940630,940630,940630,940630,940630,940630,940630,940630
547.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622567,622567,622567,622567,622567,622567,622567,622567,622567,622567,622567,622567
455.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,414976,414976,414976,414976,414976,414976,414976,414976,414976,414976,414976,414976,829952,829952,829952,829952
271.0,EMEA,Travel,Enterprise,,,,,,,,,,,,,,,,,,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559,345559
505.0,APAC,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450398,450398,450398,450398,450398,450398,450398,450398,450398,450398,450398,450398,0,0
441.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,733636,733636,733636,733636,733636,733636,733636,733636,733636,733636,733636,733636,1467272,1467272,1467272,1467272
254.0,APAC,Financial Services,Middle Market,,,,,,,,,,,,,,,,,975441,975441,975441,975441,975441,975441,975441,975441,975441,975441,975441,975441,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1170529.2,1638740.88,1638740.88
654.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831939,831939,831939,831939,831939,831939
408.0,EMEA,Healthcare,Middle Market,,,,,,,,,,,,,,,,,,,,,,489269,489269,489269,489269,489269,489269,489269,489269,489269,489269,489269,489269,684976.6,684976.6,684976.6,684976.6,684976.6,684976.6,684976.6,684976.6,684976.6
283.0,North America,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718,914718
540.0,North America,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919788,919788,919788,919788,919788,919788,919788,919788,919788,919788,919788,919788
386.0,APAC,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,83433,83433,83433,83433,83433,83433,83433,83433,83433,83433,83433,83433,108462.9,108462.9,108462.9,108462.9,108462.9,108462.9,108462.9,108462.9,108462.9,108462.9
101.0,APAC,Financial Services,Enterprise,,,,,,,,,,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884,856884
90.0,APAC,Healthcare,Enterprise,,,,,,,,,778717,778717,778717,778717,778717,778717,778717,778717,778717,778717,778717,778717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827658,827658,827658,827658,827658,827658,827658
506.0,North America,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323559,323559,323559,323559,323559,323559,323559,323559,323559,323559,323559,323559,0,0
606.0,North America,Travel,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337969,337969,337969,337969,337969,337969,337969,337969,337969
139.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,422348,633522,633522,633522,633522,633522,633522,633522,633522,633522,633522,633522,633522,950283,950283,950283,950283,950283,950283
704.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505313,505313,505313
752.0,APAC,Financial Services,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920319,920319
570.0,North America,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186009,186009,186009,186009,186009,186009,186009,186009,186009,186009,186009
776.0,North America,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787751
495.0,EMEA,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178765,178765,178765,178765,178765,178765,178765,178765,178765,178765,178765,178765,357530,357530
601.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634404,634404,634404,634404,634404,634404,634404,634404,634404
742.0,EMEA,Financial Services,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925073,925073
89.0,APAC,Financial Services,Middle Market,,,,,,,,,998358,998358,998358,998358,998358,998358,998358,998358,998358,998358,998358,998358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45575
450.0,APAC,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,128966,128966,128966,128966,128966,128966,128966,128966,128966,128966,128966,128966,257932,257932,257932,257932
359.0,APAC,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,445081,445081,445081,445081,445081,445081,445081,445081,445081,445081,445081,445081,0,0,0,0,0,0,0,0,0,0
787.0,EMEA,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45575
68.0,APAC,Travel,Middle Market,,,,,,,,47225,47225,47225,47225,47225,47225,47225,47225,47225,47225,47225,47225,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,51947.5,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25,57142.25
726.0,North America,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102254,102254,102254
375.0,North America,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,957204,957204,957204,957204,957204,957204,957204,957204,957204,957204,957204,957204,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2,1244365.2
145.0,EMEA,Healthcare,Middle Market,,,,,,,,,,,,,56564,56564,56564,56564,56564,56564,56564,56564,56564,56564,56564,56564,84846,84846,84846,84846,84846,84846,84846,84846,84846,84846,84846,84846,127269,127269,127269,127269,127269,127269
438.0,EMEA,Healthcare,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,18872,18872,18872,18872,18872,18872,18872,18872,18872,18872,18872,18872,0,0,0,0
583.0,APAC,Financial Services,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953385,953385,953385,953385,953385,953385,953385,953385,953385,953385
330.0,North America,Travel,SMB,,,,,,,,,,,,,,,,,,,,108451,108451,108451,108451,108451,108451,108451,108451,108451,108451,108451,108451,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75,135563.75
33.0,APAC,Financial Services,Enterprise,,,,,558303,558303,558303,558303,558303,558303,558303,558303,558303,558303,558303,558303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.0,EMEA,Travel,Enterprise,,,,,,,,,,,,,,,571668,571668,571668,571668,571668,571668,571668,571668,571668,571668,571668,571668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519.0,EMEA,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201302,201302,201302,201302,201302,201302,201302,201302,201302,201302,201302,201302,402604
562.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166516,166516,166516,166516,166516,166516,166516,166516,166516,166516,166516,166516
355.0,North America,Travel,Enterprise,,,,,,,,,,,,,,,,,,,,359628,359628,359628,359628,359628,359628,359628,359628,359628,359628,359628,359628,0,0,0,0,0,0,0,0,0,0,0
5.0,APAC,Travel,SMB,,974939,974939,974939,974939,974939,974939,974939,974939,974939,974939,974939,974939,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1169926.8,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1286919.48,1930379.22,1930379.22,1930379.22,1930379.22,1930379.22
280.0,APAC,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699,770699
216.0,North America,Healthcare,Middle Market,,,,,,,,,,,,,,,,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443,896443
10.0,APAC,Travel,Middle Market,,69311,69311,69311,69311,69311,69311,69311,69311,69311,69311,69311,69311,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,58914.35,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,64805.785,97208.6775,97208.6775,97208.6775,97208.6775,97208.6775
766.0,North America,Travel,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420518
633.0,APAC,Healthcare,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680434,680434,680434,680434,680434,680434,680434
404.0,APAC,Healthcare,Enterprise,,,,,,,,,,,,,,,,,,,,,,81992,81992,81992,81992,81992,81992,81992,81992,81992,81992,81992,81992,57394.4,57394.4,57394.4,57394.4,57394.4,57394.4,57394.4,57394.4,57394.4
144.0,EMEA,Travel,Enterprise,,,,,,,,,,,,,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,47700,71550,71550,71550,71550,71550,71550,71550,71550,71550,71550,71550,71550,107325,107325,107325,107325,107325,107325
517.0,APAC,Travel,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583706,583706,583706,583706,583706,583706,583706,583706,583706,583706,583706,583706,1167412
620.0,APAC,Travel,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332197,332197,332197,332197,332197,332197,332197,332197
289.0,APAC,Travel,SMB,,,,,,,,,,,,,,,,,,,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490,669490
103.0,EMEA,Healthcare,SMB,,,,,,,,,,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424,410424
622.0,North America,Travel,Middle Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160135,160135,160135,160135,160135,160135,160135
15.0,APAC,Travel,Enterprise,,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,252017.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,453631.5,0,0,0,0,0
446.0,North America,Travel,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,247989,247989,247989,247989,247989,247989,247989,247989,247989,247989,247989,247989,495978,495978,495978,495978
285.0,APAC,Travel,Enterprise,,,,,,,,,,,,,,,,,,,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355,111355
783.0,APAC,Financial Services,SMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515035
